SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
HMKR20JJT;71326,0;0,0;100,0;100,0;1897,73;8,02
HMQV92SHD;77395,56;0,0;100,0;100,0;622,33;10,64
HNBP43ZMJ;16,44;0,0;100,0;100,0;418,33;15,63
HNMO99LMZ;73421,97;0,0;100,0;100,0;1343,97;22,01
HODW59JKZ;30818,73;0,0;100,0;100,0;1141,67;19,58
HOUN33UQR;34655,25;0,0;100,0;100,0;1057,25;23,34
HPDG47ERF;11303,2;0,0;100,0;100,0;417,21;20,97
HQCP63KVF;9354,5;0,0;100,0;100,0;272,92;88,88
HQEV03LEY;13200,25;0,0;100,0;100,0;654,46;15,56
HQMJ53GFK;181887,33;0,0;100,0;100,0;10229,79;7,95
HRMD73WFT;1440,58;0,0;100,0;100,0;36,65;21,6
HRVO22SVX;65042,53;0,0;100,0;100,0;1829,12;21,27
HSET43YAZ;12482,55;0,0;100,0;100,0;148,02;10,36
HSOG84USO;25869,3;0,0;100,0;100,0;347,56;8,84
HTOA76TVA;30040,04;0,0;100,0;100,0;1081,81;11,63
HTOY37YRT;2074,01;0,0;100,0;100,0;1275,64;316,51
HTRF26XLO;180341,52;1,08;98,48;98,92;1762,16;11,25
HUDS58NYR;36573,16;0,0;100,0;100,0;684,72;9,96
HURR77KQR;45642,56;0,0;100,0;100,0;544,26;7,17
HVBK11FDL;4011,89;0,0;100,0;100,0;1531,52;88,36
HVFK79WMU;20086,45;0,0;100,0;100,0;2011,76;28,24
HVLG50BVG;17345,17;0,0;100,0;100,0;216,32;9,69
HVRL62TUS;56375,1;0,0;100,0;100,0;711,45;15,76
HXEC39WBV;367045,97;0,0;100,0;100,0;51225,31;12,47
HXFM18BTQ;9198,13;0,0;100,0;100,0;406,35;9,91
HXGG96DOT;87240,06;0,94;98,99;99,06;3979,57;27,31
HXLO55PYA;4,8;0,0;100,0;100,0;139,09;176,54
HYLX99XNX;102737,75;0,0;100,0;100,0;2717,74;21,88
HYRL60UZX;31848,88;0,0;100,0;100,0;769,2;17,48
HYYE50BCF;8829,88;0,0;100,0;100,0;317,98;19,53
HYYT98EPJ;62043,21;0,0;100,0;100,0;598,71;10,57
HZBL04PBW;46012,36;0,0;100,0;100,0;442,38;6,89
HZQO09WWV;33282,93;0,0;100,0;100,0;336,72;28,15
IAAB15LKG;1181155,89;0,0;100,0;100,0;37231,13;7,03
IAME04NHZ;10812,85;4,52;94,44;95,48;816,46;26,28
